status;duration;credit_history;purpose;amount;savings;employment_duration;installment_rate;personal_status_sex;other_debtors;present_residence;property;age;other_installment_plans;housing;number_credits;job;people_liable;telephone;foreign_worker;credit_risk
no checking account;8;all credits at this bank paid back duly;business;1164;unknown or no savings account; more than  7 yrs;20 between 25;male : married or widowed;none; more than  7 yrs;real estate;51;bank;own;3-Feb;manager or self-empl. or highly qualif. employee;3 or more;yes;no;good
no checking account;36;all credits at this bank paid back duly;car (used);6229;unknown or no savings account; less than  1 yr; less than  20;female : non-single or male : single;co-applicant; more than  7 yrs;real estate;23;none;for free;3-Feb;unskilled - resident;0 to 2;yes;no;bad
no checking account;24;critical account or other credits elsewhere;others;1193;unknown or no savings account;unemployed; more than  35;female : non-single or male : single;co-applicant; more than  7 yrs;real estate;29;none;for free;3-Feb;unemployed or unskilled - non-resident;0 to 2;no;no;bad
no checking account;30;delay in paying off in the past;car (used);4583;unknown or no savings account;1 between 4 yrs;25 between 35;male : divorced or separated;guarantor;1 between 4 yrs;unknown  or  no property;32;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
no checking account;36;all credits at this bank paid back duly;car (used);5371;unknown or no savings account;1 between 4 yrs;20 between 25;male : married or widowed;guarantor;1 between 4 yrs;car or other;28;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
no checking account;12;no credits taken or all credits paid back duly;car (used);708;unknown or no savings account;1 between 4 yrs;25 between 35;male : married or widowed;guarantor;4 between 7 yrs;car or other;38;none;rent;1;unskilled - resident;3 or more;no;no;good
no checking account;21;all credits at this bank paid back duly;others;571;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;unknown  or  no property;65;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
no checking account;30;no credits taken or all credits paid back duly;furniture or equipment;2522;unknown or no savings account; more than  7 yrs; more than  35;male : married or widowed;guarantor;4 between 7 yrs;car or other;39;none;rent;1;skilled employee or official;3 or more;no;no;good
no checking account;36;no credits taken or all credits paid back duly;car (used);5179;unknown or no savings account;4 between 7 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;car or other;29;none;rent;1;skilled employee or official;0 to 2;no;no;bad
no checking account;36;no credits taken or all credits paid back duly;car (new);8229;unknown or no savings account;1 between 4 yrs;25 between 35;male : married or widowed;none;1 between 4 yrs;car or other;26;none;rent;1;skilled employee or official;3 or more;no;no;bad
more than 200 DM or salary for at least 1 year;24;all credits at this bank paid back duly;car (used);2028;unknown or no savings account;4 between 7 yrs;25 between 35;male : married or widowed;none;1 between 4 yrs;car or other;30;none;rent;3-Feb;unskilled - resident;0 to 2;no;no;good
no checking account;6;no credits taken or all credits paid back duly;others;1374;more than 1000 DM;unemployed; less than  20;female : non-single or male : single;none;4 between 7 yrs;car or other;75;none;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
no checking account;12;no credits taken or all credits paid back duly;car (used);1289;unknown or no savings account;1 between 4 yrs; less than  20;male : married or widowed;guarantor; less than  1 yr;car or other;21;none;rent;1;unskilled - resident;0 to 2;no;no;good
no checking account;36;no credits taken or all credits paid back duly;car (used);2712;unknown or no savings account; more than  7 yrs;25 between 35;male : married or widowed;none;1 between 4 yrs;car or other;41;bank;rent;1;skilled employee or official;3 or more;no;no;bad
no checking account;15;all credits at this bank paid back duly;car (used);975;unknown or no savings account;1 between 4 yrs;25 between 35;male : divorced or separated;none;4 between 7 yrs;car or other;25;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
less than 0 DM;6;existing credits paid back duly till now;car (used);1050;unknown or no savings account;unemployed; less than  20;male : married or widowed;none; less than  1 yr;car or other;35;stores;rent;3-Feb;manager or self-empl. or highly qualif. employee;0 to 2;yes;yes;good
no checking account;6;all credits at this bank paid back duly;others;609;unknown or no savings account;4 between 7 yrs; less than  20;female : non-single or male : single;none;4 between 7 yrs;car or other;37;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
no checking account;48;no credits taken or all credits paid back duly;car (new);4788;unknown or no savings account;4 between 7 yrs; less than  20;male : married or widowed;none;4 between 7 yrs;car or other;26;none;rent;1;skilled employee or official;3 or more;no;no;good
less than 0 DM;24;no credits taken or all credits paid back duly;car (used);3069;less than 100 DM; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;real estate;30;none;own;1;skilled employee or official;0 to 2;no;no;good
less than 0 DM;12;no credits taken or all credits paid back duly;others;836;less than 100 DM; less than  1 yr; less than  20;female : non-single or male : single;none;1 between 4 yrs;car or other;23;bank;rent;1;unskilled - resident;0 to 2;no;no;bad
no checking account;12;no credits taken or all credits paid back duly;car (used);2577;unknown or no savings account;1 between 4 yrs;25 between 35;male : divorced or separated;none; less than  1 yr;building soc. savings agr. or life insurance;42;none;rent;1;skilled employee or official;0 to 2;no;no;good
no checking account;12;no credits taken or all credits paid back duly;car (used);1620;unknown or no savings account;1 between 4 yrs;25 between 35;female : non-single or male : single;co-applicant;4 between 7 yrs;car or other;30;none;rent;1;skilled employee or official;0 to 2;no;no;good
no checking account;15;no credits taken or all credits paid back duly;car (used);1845;unknown or no savings account; less than  1 yr; less than  20;female : non-single or male : single;guarantor; less than  1 yr;car or other;46;none;for free;1;skilled employee or official;0 to 2;no;no;good
no checking account;24;no credits taken or all credits paid back duly;car (new);6579;unknown or no savings account;unemployed; less than  20;male : married or widowed;none;1 between 4 yrs;real estate;29;none;own;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
no checking account;12;no credits taken or all credits paid back duly;others;1893;unknown or no savings account;1 between 4 yrs; less than  20;female : non-single or male : single;guarantor; more than  7 yrs;car or other;29;none;rent;1;skilled employee or official;0 to 2;yes;no;good
no checking account;30;all credits at this bank paid back duly;car (new);10623;unknown or no savings account; more than  7 yrs;20 between 25;male : married or widowed;none; more than  7 yrs;real estate;38;none;own;5-Apr;manager or self-empl. or highly qualif. employee;3 or more;yes;no;good
no checking account;18;no credits taken or all credits paid back duly;others;2249;less than 100 DM;4 between 7 yrs; less than  20;male : married or widowed;none;4 between 7 yrs;building soc. savings agr. or life insurance;30;none;rent;1;manager or self-empl. or highly qualif. employee;3 or more;yes;no;good
no checking account;30;no credits taken or all credits paid back duly;car (used);3108;unknown or no savings account; less than  1 yr;25 between 35;male : divorced or separated;none; more than  7 yrs;car or other;31;none;rent;1;unskilled - resident;0 to 2;no;no;bad
less than 0 DM;12;all credits at this bank paid back duly;others;958;unknown or no savings account;4 between 7 yrs;25 between 35;male : married or widowed;none;4 between 7 yrs;unknown  or  no property;47;none;rent;3-Feb;unskilled - resident;3 or more;no;no;good
more than 200 DM or salary for at least 1 year;24;no credits taken or all credits paid back duly;car (new);9277;more than 1000 DM;1 between 4 yrs;25 between 35;male : divorced or separated;none; more than  7 yrs;real estate;48;none;own;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;24;all credits at this bank paid back duly;business;6314;unknown or no savings account;unemployed; less than  20;male : married or widowed;co-applicant;1 between 4 yrs;real estate;27;bank;rent;3-Feb;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
no checking account;12;all credits at this bank paid back duly;car (new);1526;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;real estate;66;none;own;3-Feb;manager or self-empl. or highly qualif. employee;0 to 2;no;no;good
no checking account;12;no credits taken or all credits paid back duly;car (used);3590;unknown or no savings account;1 between 4 yrs;25 between 35;male : married or widowed;co-applicant;1 between 4 yrs;car or other;29;none;rent;1;unskilled - resident;3 or more;no;no;good
no checking account;24;all credits at this bank paid back duly;car (new);6615;unknown or no savings account;unemployed;25 between 35;male : married or widowed;none; more than  7 yrs;real estate;75;none;own;3-Feb;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
no checking account;6;all credits at this bank paid back duly;car (used);1872;unknown or no savings account;unemployed; less than  20;male : married or widowed;none; more than  7 yrs;real estate;36;none;own;5-Apr;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;12;no credits taken or all credits paid back duly;others;2859;more than 1000 DM;unemployed; less than  20;male : married or widowed;none; more than  7 yrs;real estate;38;none;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;18;all credits at this bank paid back duly;furniture or equipment;1582;500 between 1000 DM; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;46;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;6;no credits taken or all credits paid back duly;vacation;1238;more than 1000 DM;unemployed; less than  20;male : married or widowed;none; more than  7 yrs;car or other;36;none;rent;1;manager or self-empl. or highly qualif. employee;3 or more;yes;no;good
no checking account;12;no credits taken or all credits paid back duly;car (used);2578;unknown or no savings account;unemployed;20 between 25;female : non-single or male : single;none; more than  7 yrs;real estate;55;none;own;1;manager or self-empl. or highly qualif. employee;0 to 2;no;no;good
